Customer Name,Total Spent,Total Orders,Average Purchase,Average Monthly Spend,Average Monthly Orders,Last Ordered,Customer Since,Customer Lifetime
Customer8616,$46.67,1,$46.67,$1.11,0,"Jul 23, 2020","Mar 28, 2019",3 yrs 5 mos 23 dys
Customer4088,$46.62,2,$23.31,$1.11,0,"Jul 16, 2022","Jan 24, 2016",3 yrs 4 mos 30 dys
Customer3151,$46.62,2,$23.31,$3.11,0,"Jan 13, 2023","Nov 02, 2022",1 yr 2 mos 12 dys
Customer4895,$378.77,4,$94.69,$4.79,0,"Nov 23, 2021","Jul 12, 2017",6 yrs 6 mos 3 dys
Customer1264,$46.61,1,$46.61,$1.46,0,"May 30, 2021","May 10, 2018",2 yrs 7 mos 15 dys
Customer4295,$46.60,1,$46.60,$1.46,0,"Jun 12, 2021","May 10, 2020",2 yrs 7 mos 2 dys
Customer1090,$46.57,8,$5.82,$0.66,0,"Jun 10, 2019","Jan 21, 2016",5 yrs 10 mos 7 dys
Customer5454,$46.55,2,$23.28,$1.29,0,"Dec 20, 2021","Jun 01, 2020",2 yrs 11 mos 18 dys
Customer7956,$46.45,2,$23.23,$1.22,0,"Mar 07, 2021","Dec 06, 2020",3 yrs 1 mo 8 dys
Customer4917,$46.40,1,$46.40,$2.44,0,"Jun 19, 2022","Jan 03, 2021",1 yr 6 mos 27 dys
Customer3636,$46.38,1,$46.38,$5.15,0,"May 10, 2023","May 15, 2019",8 mos 5 dys
Customer5436,$46.34,2,$23.17,$1.22,0,"May 23, 2021","Aug 12, 2016",3 yrs 1 mo 22 dys
Customer9938,$46.28,1,$46.28,$1.71,0,"Nov 01, 2021","Apr 12, 2020",2 yrs 2 mos 13 dys
Customer5664,$46.07,1,$46.07,$2.00,0,"Mar 11, 2022","Mar 11, 2022",1 yr 10 mos 3 dys
Customer2421,"$1,420.15",29,$48.97,$16.91,0,"Mar 03, 2022","Jan 24, 2017",6 yrs 11 mos 21 dys
Customer3704,$378.57,24,$15.77,$18.03,1,"Nov 20, 2023","Jun 08, 2021",1 yr 8 mos 19 dys
Customer5617,$46.06,1,$46.06,$1.40,0,"Apr 20, 2021","Jan 05, 2015",2 yrs 8 mos 25 dys
Customer5854,$46.02,3,$15.34,$1.64,0,"Mar 31, 2022","Mar 18, 2017",2 yrs 3 mos
Customer7439,$46.02,2,$23.01,$9.20,0,"Oct 30, 2023","Aug 21, 2023",4 mos 25 dys
Customer8652,$45.95,1,$45.95,$3.06,0,"Oct 30, 2022","Nov 28, 2020",1 yr 2 mos 15 dys
Customer5050,$45.92,2,$22.96,$1.35,0,"Apr 23, 2022","Oct 08, 2017",2 yrs 9 mos 18 dys
Customer6167,$45.89,1,$45.89,$0.62,0,"Nov 19, 2017","Nov 19, 2017",6 yrs 1 mo 26 dys
Customer8255,$45.89,1,$45.89,$9.18,0,"Sep 09, 2023","May 03, 2022",4 mos 6 dys
Customer3422,$45.82,1,$45.82,$1.83,0,"Jan 06, 2022","Oct 01, 2019",2 yrs 8 dys
Customer2973,$45.72,2,$22.86,$1.47,0,"Jul 08, 2021","Jun 10, 2021",2 yrs 6 mos 23 dys
Customer9803,$45.71,1,$45.71,$1.52,0,"Aug 14, 2021","Aug 23, 2017",2 yrs 5 mos
Customer3794,$377.71,8,$47.21,$8.04,0,"Aug 04, 2023","Feb 13, 2020",3 yrs 10 mos 21 dys
Customer2569,$45.71,1,$45.71,$0.54,0,"Feb 03, 2017","Feb 03, 2017",6 yrs 11 mos 11 dys
Customer3460,$45.61,1,$45.61,$3.80,0,"Feb 13, 2023","Feb 13, 2023",11 mos 1 dy
Customer1121,$45.45,2,$22.73,$4.55,0,"Dec 13, 2023","Apr 14, 2023",9 mos
Customer4952,$45.41,1,$45.41,$6.49,0,"Jul 06, 2023","May 18, 2022",6 mos 8 dys
Customer5014,$45.36,1,$45.36,$5.04,0,"May 12, 2023","May 12, 2023",8 mos 2 dys
Customer4861,$45.36,1,$45.36,$2.67,0,"Aug 20, 2022","Sep 13, 2017",1 yr 4 mos 25 dys
Customer8728,$45.34,2,$22.67,$0.86,0,"Feb 22, 2020","Aug 24, 2019",4 yrs 4 mos 21 dys
Customer9015,$45.26,1,$45.26,$15.09,0,"Oct 29, 2023","Oct 29, 2023",2 mos 16 dys
Customer1325,$45.23,1,$45.23,$0.84,0,"Aug 01, 2019","Nov 10, 2015",4 yrs 5 mos 14 dys
Customer4111,$45.16,2,$22.58,$0.51,0,"Nov 19, 2018","Aug 26, 2016",7 yrs 4 mos 19 dys
